seed,subject,channels,auroc
1,chbmit:chb17,all,0.6457365961600672
1,chbmit:chb17,random_half,0.779587522112439
1,chbmit:chb17,cyton,0.7546637926826032
1,chbmit:chb18,all,0.6031846541634003
1,chbmit:chb18,random_half,0.7348811725123399
1,chbmit:chb18,cyton,0.5160215748894347
1,chbmit:chb19,all,0.5031863524899737
1,chbmit:chb19,random_half,0.40264887284385886
1,chbmit:chb19,cyton,0.4286830882931162
1,chbmit:chb20,all,0.7230508420774882
1,chbmit:chb20,random_half,0.6056422531317928
1,chbmit:chb20,cyton,0.3991370251555233
1,chbmit:chb22,all,0.624823421895274
1,chbmit:chb22,random_half,0.6174039444796877
1,chbmit:chb22,cyton,0.6119383012238637
1,chbmit:chb23,all,0.8348092859024238
1,chbmit:chb23,random_half,0.8139211159010671
1,chbmit:chb23,cyton,0.615902618946054
1,siena:PN01,all,0.9942376564939239
1,siena:PN01,random_half,0.9950182129847868
1,siena:PN01,cyton,0.9791038522758578
1,siena:PN03,all,0.48693223489975507
1,siena:PN03,random_half,0.5834345578227904
1,siena:PN03,cyton,0.5616141170962403
1,siena:PN07,all,0.5161362748569822
1,siena:PN07,random_half,0.5177973619746127
1,siena:PN07,cyton,0.38406707141214314
1,siena:PN14,all,0.741676140556926
1,siena:PN14,random_half,0.7295415372626033
1,siena:PN14,cyton,0.7041561918956323
2,chbmit:chb01,all,0.4656290941904892
2,chbmit:chb01,random_half,0.5059918581722536
2,chbmit:chb01,cyton,0.5711192789403154
2,chbmit:chb02,all,0.31413910550400803
2,chbmit:chb02,random_half,0.3764627923402296
2,chbmit:chb02,cyton,0.5218071003586324
2,chbmit:chb03,all,0.4530267510770738
2,chbmit:chb03,random_half,0.45841861848360155
2,chbmit:chb03,cyton,0.505403469465197
2,chbmit:chb04,all,0.4042394625062908
2,chbmit:chb04,random_half,0.3605572074403933
2,chbmit:chb04,cyton,0.48269512105269763
2,chbmit:chb05,all,0.6042457766514754
2,chbmit:chb05,random_half,0.6435063201381231
2,chbmit:chb05,cyton,0.6142896462958677
2,chbmit:chb06,all,0.4564390716692361
2,chbmit:chb06,random_half,0.43249729919315255
2,chbmit:chb06,cyton,0.4022546856674942
2,chbmit:chb07,all,0.5675747474906143
2,chbmit:chb07,random_half,0.5702013100642465
2,chbmit:chb07,cyton,0.604525571385935
2,chbmit:chb08,all,0.45770077842586365
2,chbmit:chb08,random_half,0.5692661175661569
2,chbmit:chb08,cyton,0.4586943323286797
2,chbmit:chb09,all,0.38299235884260885
2,chbmit:chb09,random_half,0.411936492867777
