seed,subject,dataset,auroc,macro_f1,confusion,threshold,events,predicted,alarms,false_alarms,far_hours,far_per_24h,time_in_warning,sensitivity,median_warning_s,share_warnings_30s
0,siena:PN07,siena,0.41914156478057224,0.23015973596156125,"[[236, 88, 35], [4, 9, 0], [1161, 67, 298]]",0.8978978978978979,1,1,14,13,8.211,37.99729364005413,0.7966263526416295,1.0,304.0,1.0
0,siena:PN14,siena,0.7602046794916479,0.49111556153649144,"[[1243, 58, 136], [17, 14, 3], [1657, 53, 2453]]",0.9529529529529529,4,3,35,32,18.392,41.758042591753515,0.8190036022565078,0.75,705.0,0.6666666666666666
1,chbmit:chb01,chbmit,0.48162430668936695,0.2832466015484361,"[[1209, 249, 2102], [16, 45, 69], [10815, 1941, 14276]]",0.9419419419419419,10,0,1,1,67.735,0.3543234431708668,0.00686250214453192,0.0,nan,nan
1,chbmit:chb02,chbmit,0.4058920033850396,0.32905034657216176,"[[186, 117, 415], [2, 32, 1], [4035, 796, 14474]]",0.943943943943944,2,0,0,0,33.969,0.0,0.0,0.0,nan,nan
1,chbmit:chb03,chbmit,0.5576006865725612,0.3871110207687695,"[[796, 21, 1306], [30, 21, 29], [5224, 145, 14220]]",0.9459459459459459,6,1,13,12,34.678,8.305030438961872,0.16359353722719075,0.16666666666666666,1707.0,1.0
1,chbmit:chb04,chbmit,0.3216821108908487,0.2836901927086001,"[[182, 5, 1219], [10, 35, 31], [28844, 1735, 64177]]",0.8858858858858859,4,3,153,150,153.706,23.421404561390826,0.48452073116362016,0.75,1229.0,1.0
1,chbmit:chb05,chbmit,0.6019540950186969,0.340570602866249,"[[347, 143, 1293], [13, 93, 6], [1506, 1877, 6946]]",0.8228228228228228,5,3,16,13,36.1,8.642659279778393,0.20482662172338365,0.6,1068.0,1.0
1,chbmit:chb06,chbmit,0.40260150502810743,0.20483423132106035,"[[139, 2692, 726], [2, 29, 2], [1354, 9344, 7116]]",0.993993993993994,10,0,0,0,61.622,0.0,0.0,0.0,nan,nan
1,chbmit:chb07,chbmit,0.5635523161747381,0.30674824090535585,"[[200, 93, 786], [2, 63, 2], [7481, 2642, 26752]]",0.95995995995996,3,0,3,3,65.328,1.102134535249596,0.022290481922709725,0.0,nan,nan
1,chbmit:chb08,chbmit,0.3228810120465507,0.4056042737394672,"[[795, 11, 990], [14, 63, 108], [497, 0, 222]]",0.8668668668668669,5,0,16,16,17.115,22.43609510671103,0.375908836689038,0.0,nan,nan
1,chbmit:chb09,chbmit,0.37098907456597346,0.17722762280963408,"[[160, 824, 452], [1, 52, 3], [12381, 10745, 11785]]",0.9829829829829829,4,0,3,3,65.662,1.0965162764134782,0.02214521519817917,0.0,nan,nan
1,chbmit:chb10,chbmit,0.5743712069606969,0.3198158591094818,"[[2, 321, 1831], [0, 76, 13], [529, 1599, 15292]]",0.991991991991992,6,0,0,0,46.732,0.0,0.0,0.0,nan,nan
1,chbmit:chb11,chbmit,0.531475491838707,0.3436293926562332,"[[182, 34, 144], [16, 132, 15], [10329, 519, 12031]]",0.9619619619619619,1,0,2,2,33.822,1.419185282522996,0.028703517587939698,0.0,nan,nan
1,chbmit:chb13,chbmit,0.6345488893029418,0.3188381399562945,"[[921, 172, 696], [68, 10, 31], [3230, 2125, 5445]]",0.9329329329329329,5,1,15,12,30.135,9.557081624187676,0.20364484000847638,0.2,509.0,1.0
1,chbmit:chb14,chbmit,0.4509894096492071,0.3091479046445164,"[[307, 27, 1814], [18, 1, 15], [514, 42, 2818]]",0.993993993993994,6,0,0,0,22.789,0.0,0.0,0.0,nan,nan
1,chbmit:chb15,chbmit,0.5267872673022017,0.12902766336846314,"[[15, 7, 3168], [2, 0, 400], [21, 8, 1092]]",0.8918918918918919,9,0,2,2,34.742,1.3816262892780042,0.025169544850730616,0.0,nan,nan
1,chbmit:chb16,chbmit,0.4323919671712313,0.29117986340096264,"[[370, 80, 1327], [9, 1, 11], [1246, 204, 2583]]",0.997997997997998,5,0,0,0,16.371,0.0,0.0,0.0,nan,nan
1,chbmit:chb17,chbmit,0.6457365961600672,0.3414502606535957,"[[273, 405, 400], [15, 17, 27], [2010, 420, 6729]]",0.8808808808808809,3,2,11,9,19.281,11.202996686356434,0.26060323590119183,0.6666666666666666,1016.0,1.0
1,chbmit:chb18,chbmit,0.6031846541634003,0.38016185781818385,"[[131, 49, 1256], [15, 30, 18], [1383, 314, 17210]]",0.948948948948949,4,1,1,0,33.301,0.0,0.013895430993876589,0.25,222.0,1.0
1,chbmit:chb19,chbmit,0.5031863524899737,0.4944178372327446,"[[287, 25, 406], [4, 35, 10], [3334, 44, 15927]]",0.8978978978978979,2,0,7,7,28.654,5.863021666424313,0.08561547808206374,0.0,nan,nan
1,chbmit:chb20,chbmit,0.7230508420774882,0.2367464378540783,"[[1262, 63, 451], [15, 32, 14], [5061, 5180, 3382]]",0.9099099099099099,5,1,5,4,24.844,3.8640429338103757,0.08978453738910012,0.2,1596.0,1.0
1,chbmit:chb22,chbmit,0.624823421895274,0.45040686364503973,"[[288, 0, 430], [1, 27, 14], [2978, 78, 9142]]",0.986986986986987,2,0,0,0,29.732,0.0,0.0,0.0,nan,nan
1,chbmit:chb23,chbmit,0.8348092859024238,0.4897827091855233,"[[287, 23, 1456], [7, 42, 40], [420, 99, 9697]]",0.8468468468468469,5,0,5,5,23.917,5.017421602787456,0.09378768020969856,0.0,nan,nan
1,siena:PN01,siena,0.9942376564939239,0.7282559111451117,"[[716, 0, 2], [18, 4, 4], [66, 0, 1390]]",0.8698698698698699,2,2,23,21,12.447,40.49096183887525,0.8385534720791263,1.0,953.0,1.0
1,siena:PN03,siena,0.48693223489975507,0.19392663690755993,"[[676, 2, 40], [16, 32, 0], [8134, 132, 682]]",0.8368368368368369,2,2,48,46,23.149,47.69184616307674,0.9737853496242758,1.0,1177.0,1.0
1,siena:PN07,siena,0.5161362748569822,0.24504912662774317,"[[246, 76, 37], [4, 9, 0], [1133, 68, 325]]",0.9009009009009009,1,1,14,13,8.211,37.99729364005413,0.799013367281986,1.0,334.0,1.0
