seed,fold,test,inner,n_train_subjects,n_train_windows,threshold,inner_far_per_24h,threshold_fixed_before_test_scored
1,9,chbmit:chb10,chbmit:chb06;chbmit:chb14;chbmit:chb17;siena:PN01;siena:PN03,31,660972,0.991991991991992,9.993718029256035,True
1,10,chbmit:chb11,chbmit:chb03;chbmit:chb04;chbmit:chb05;chbmit:chb09;chbmit:chb19,31,543318,0.9619619619619619,9.937264742785446,True
1,11,chbmit:chb13,chbmit:chb02;chbmit:chb08;chbmit:chb14;chbmit:chb19;chbmit:chb22,31,680303,0.9329329329329329,9.980362712255978,True
1,12,chbmit:chb14,chbmit:chb13;chbmit:chb17;chbmit:chb20;siena:PN03;siena:PN14,31,696493,0.993993993993994,9.533678756476684,True
1,13,chbmit:chb15,chbmit:chb06;chbmit:chb07;chbmit:chb23;siena:PN03;siena:PN07,31,638030,0.8918918918918919,9.877822915634551,True
1,14,chbmit:chb16,chbmit:chb14;chbmit:chb20;siena:PN01;siena:PN03;siena:PN07,31,720245,0.997997997997998,9.97372298251743,True
1,15,chbmit:chb17,chbmit:chb01;chbmit:chb06;chbmit:chb10;chbmit:chb16;siena:PN01,31,630951,0.8808808808808809,9.955738716083859,True
1,16,chbmit:chb18,chbmit:chb04;chbmit:chb13;chbmit:chb14;chbmit:chb17;siena:PN03,31,593305,0.948948948948949,9.82902265198916,True
1,17,chbmit:chb19,chbmit:chb08;chbmit:chb14;chbmit:chb16;chbmit:chb18;siena:PN01,31,702509,0.8978978978978979,9.880065888887376,True
1,18,chbmit:chb20,chbmit:chb01;chbmit:chb09;chbmit:chb10;chbmit:chb14;siena:PN03,31,612702,0.9099099099099099,9.873193748156886,True
1,19,chbmit:chb22,chbmit:chb03;chbmit:chb10;chbmit:chb23;siena:PN03;siena:PN14,31,669119,0.986986986986987,9.9682251475261,True
1,20,chbmit:chb23,chbmit:chb06;chbmit:chb07;chbmit:chb14;chbmit:chb19;siena:PN14,31,635652,0.8468468468468469,9.87881568267636,True
1,21,siena:PN01,chbmit:chb05;chbmit:chb11;chbmit:chb14;chbmit:chb18;chbmit:chb19,31,677636,0.8698698698698699,9.775862068965518,True
1,22,siena:PN03,chbmit:chb01;chbmit:chb02;chbmit:chb06;chbmit:chb19;chbmit:chb23,31,622034,0.8368368368368369,9.893596490099457,True
1,23,siena:PN07,chbmit:chb01;chbmit:chb17;chbmit:chb18;chbmit:chb19;siena:PN14,31,670219,0.9009009009009009,9.894689670625139,True
1,24,siena:PN14,chbmit:chb01;chbmit:chb04;chbmit:chb07;chbmit:chb18;chbmit:chb23,31,533513,0.9289289289289289,9.698065974885935,True
2,0,chbmit:chb01,chbmit:chb04;chbmit:chb07;chbmit:chb08;chbmit:chb11;chbmit:chb19,31,532200,0.943943943943944,9.965676015069068,True
2,1,chbmit:chb02,chbmit:chb05;chbmit:chb07;chbmit:chb08;chbmit:chb22;chbmit:chb23,31,648742,0.8618618618618619,9.756569713981513,True
2,2,chbmit:chb03,chbmit:chb07;chbmit:chb13;chbmit:chb19;chbmit:chb20;chbmit:chb23,31,646422,0.8138138138138138,9.717848190757762,True
2,3,chbmit:chb04,chbmit:chb07;chbmit:chb09;chbmit:chb14;chbmit:chb17;chbmit:chb22,31,540691,0.8968968968968969,9.941236901582082,True
2,4,chbmit:chb05,chbmit:chb02;chbmit:chb13;chbmit:chb17;chbmit:chb19;siena:PN03,31,675025,0.9479479479479479,9.941747572815533,True
2,5,chbmit:chb06,chbmit:chb01;chbmit:chb17;chbmit:chb18;chbmit:chb20;siena:PN07,31,638647,0.8718718718718719,9.858369254174667,True
2,6,chbmit:chb07,chbmit:chb05;chbmit:chb09;chbmit:chb18;chbmit:chb22;siena:PN14,31,618374,0.943943943943944,9.825997952917094,True
2,7,chbmit:chb08,chbmit:chb03;chbmit:chb10;chbmit:chb16;chbmit:chb20;chbmit:chb23,31,675818,0.8088088088088088,9.99033266988911,True
2,8,chbmit:chb09,chbmit:chb01;chbmit:chb03;chbmit:chb04;chbmit:chb13;chbmit:chb23,31,522349,0.954954954954955,9.981640859386895,True
2,9,chbmit:chb10,chbmit:chb11;chbmit:chb13;chbmit:chb22;chbmit:chb23;siena:PN03,31,662533,0.938938938938939,9.889582901631092,True
2,10,chbmit:chb11,chbmit:chb01;chbmit:chb15;chbmit:chb18;chbmit:chb20;siena:PN14,31,639714,0.8568568568568569,9.921017922259292,True
2,11,chbmit:chb13,chbmit:chb05;chbmit:chb06;chbmit:chb11;chbmit:chb16;siena:PN14,31,652955,0.9129129129129129,9.957491586006462,True
